Class;Complexity Value
org.sigaept.auth.web.permission.URLPermission;0.8999999999999999
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;0.42
org.sigaept.edu.negocio.fachada.IManterHorarioAulaEJB;0.0
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;2.94
org.sigaept.edu.dominio.StatusAlunoClasse;1.0598999999999998
org.sigaept.edu.dominio.CertidaoNascimento;6.770600552999999
org.sigaept.edu.dominio.AreaIngresso;0.7818299999999999
org.sigaept.edu.dominio.ElementoCurricularAproveitado;39.1113815395481
org.sigaept.edu.dominio.PlanoEnsino;3.357
org.sigaept.edu.dao.TipoIngressoDAO;2.94
org.sigaept.edu.dominio.EstadoCivil;0.4599
org.sigaept.edu.dao.TipoRegistroLegalDAO;2.94
org.sigaept.auth.core.spi.SigaAuthLoginModule;2.82
org.sigaept.edu.dominio.ArquivoRelatorioFinalEstagio;36.46753224316367
org.sigaept.edu.dominio.ZonaProcedencia;0.4599
org.sigaept.auth.web.faces.component.ComPermissaoComponent;1.68
org.sigaept.edu.dominio.util.BoletimAluno;3.5999999999999996
org.sigaept.edu.dao.TipoStatusAlunoDAO;2.94
org.sigaept.edu.dominio.StatusTramiteRelatorioFinalEstagio;0.4599
org.sigaept.edu.dominio.Permissao;18.863185340099996
org.sigaept.edu.negocio.fachada.IManterClasseServidorEJB;0.0
org.sigaept.edu.dominio.AlternativaPerguntasProgramasAssistenciaEstudantil;7.704241655999997
org.sigaept.edu.negocio.fachada.IManterPerfilEJB;0.0
org.sigaept.edu.dominio.AtividadeComplementarMatricula;41.49111598349728
org.sigaept.edu.negocio.ejb.ManterEducacensoEJB;0.72
org.sigaept.edu.dominio.ConjuntoRegrasAcademicasMatricula;42.00411598349728
org.sigaept.edu.negocio.fachada.IManterPermissaoEJB;0.0
org.sigaept.edu.dao.ValidaTipoDocumentoDAO;2.94
org.sigaept.edu.negocio.ejb.ManterConjuntoRegrasAcademicasEJB;0.42
org.sigaept.nucleo.web.mb.GenericCrudPassoAPassoNovoMB;3.5999999999999996
org.sigaept.edu.dominio.ReservaAmbienteDeAprendizagem;18.882354402299992
org.sigaept.edu.dominio.RelatorioEstagio;52.660372606016004
org.sigaept.edu.dominio.TurmaAux;1.2
org.sigaept.edu.negocio.fachada.IManterTipoAvaliacaoEJB;0.0
org.sigaept.edu.dominio.util.Presenca;0.6
org.sigaept.edu.dominio.util.ListaAuxiliaRelatorioMapaDeNotas;1.5
org.sigaept.edu.dominio.config.ConfigMapeamentoTabela;0.6
org.sigaept.edu.dominio.Grupo;9.218681552999998
org.sigaept.edu.dao.TipoVinculoClasseDAO;2.94
org.sigaept.edu.dominio.TipoCertificadoMilitar;0.4599
org.sigaept.edu.dao.TipoTermoEstagioDAO;2.94
org.sigaept.edu.dao.DuracaoDAO;2.94
org.sigaept.edu.negocio.fachada.IManterEstruturaOrganizacionalEJB;0.0
org.sigaept.edu.dominio.TipoEscolaOrigem;1.0598999999999998
org.sigaept.edu.dao.MatrizCurricularPeriodoDAO;2.94
org.sigaept.edu.negocio.fachada.IManterOcorrenciaAlunoEJB;0.0
org.sigaept.edu.dao.MediaGeralTurmaDAO;2.94
org.sigaept.nucleo.annotation.manager.AnnotatedClass;0.0
org.sigaept.edu.negocio.ejb.ManterSituacaoAlunoCursoEJB;0.3
org.sigaept.edu.dao.SituacaoLegalDAO;2.94
org.sigaept.edu.dao.CursoOrigemDAO;2.94
org.sigaept.edu.dominio.GradeHorariaMatrizCurricularPK;0.6
org.sigaept.edu.negocio.fachada.IManterConjuntoRegrasAcademicasEJB;0.0
org.sigaept.edu.negocio.ejb.ManterTermoEstagioEJB;0.42
org.sigaept.edu.dominio.ContextoPermissaoAcessoPK;0.6
org.sigaept.edu.dominio.StatusHistoricoEnade;0.4599
org.sigaept.edu.dao.RelatorioComumDAO;2.94
org.sigaept.edu.negocio.fachada.IManterOrgaosExternosEJB;0.0
org.sigaept.auth.web.faces.tag.SemPermissaoTag;0.84
org.sigaept.edu.dominio.ContatoEletronico;0.3
org.sigaept.edu.dominio.Requisito;83.98616169607799
org.sigaept.edu.dominio.Docencia;52.62758242118458
