Class origin; Class destiny;Connection Strength Value
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dominio.PeriodoLetivo;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dao.TipoPeriodoLetivoDAO;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dominio.UnidadeEnsino;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dao.CalendarioAcademicoDAO;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dao.UnidadeEnsinoDAO;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dominio.ElementoOrganizacional;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dao.PeriodoLetivoDAO;53.86114480573798
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dao.MatriculaDAO;21.940479317669997
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.dao.ElementoOrganizacionalDAO;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;java.util.List;0.3
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;0.0
org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;org.sigaept.nucleo.exception.NegocioException;0.0
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;org.sigaept.edu.dao.DocenciaGradeHorarioDAO;0.0
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;org.sigaept.edu.dao.EnturmacaoDAO;24.227347030813196
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;org.sigaept.edu.dominio.UnidadeEnsino;0.0
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;org.sigaept.edu.dominio.Docente;0.0
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;javax.persistence.EntityManager;0.0
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;org.sigaept.edu.negocio.ejb.ManterPedidoRenovacaoMatriculaEJB;12.113673515406598
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;org.sigaept.edu.negocio.ejb.VincularAlunoAClasseEJB;12.107113213337998
org.sigaept.edu.dao.DocenciaGradeHorarioDAO;org.sigaept.edu.dominio.ElementoOrganizacional;0.0
