Type;Class;Amount Business Dependencies; Amount Persistence Dependencies
persistence;org.sigaept.edu.dao.EventoExternoDAO;0;0
persistence;org.sigaept.edu.dao.MatrizCurricularPeriodoDAO;0;0
persistence;org.sigaept.edu.dao.ModalidadeAprendizagemDAO;0;0
persistence;org.sigaept.edu.dao.LotacaoServidorDAO;0;0
persistence;org.sigaept.edu.dao.TipoElementoCurricularDAO;0;0
persistence;org.sigaept.edu.dao.ParticipacaoEventoExternoDAO;0;0
persistence;org.sigaept.edu.dao.ContaCorrentePagamentoDAO;0;0
persistence;org.sigaept.edu.dao.PeriodoInscricaoProgramaAssisEstudantilDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPessoaFisicaEJB;0;18
business;org.sigaept.edu.negocio.ejb.ManterUsuarioEJB;2;8
persistence;org.sigaept.edu.dao.AlunoDAO;0;0
persistence;org.sigaept.edu.dao.ProjetoExtensaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterRelatorioFinalEstagioEJB;0;10
persistence;org.sigaept.edu.dao.ReaberturaTurmaDAO;0;0
persistence;org.sigaept.edu.dao.AbonoFaltaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterRelatorioEstagioEJB;0;3
persistence;org.sigaept.edu.dao.SituacaoMatrizCurricularDAO;0;0
persistence;org.sigaept.edu.dao.StatusTramitePreProjetoEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ImprimirDiarioDeClasseEJB;0;16
business;org.sigaept.edu.negocio.ejb.ManterEtapaAvaliacaoEJB;0;17
business;org.sigaept.edu.negocio.ejb.ManterDescricaoCriterioClassificacaoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterSexoEJB;0;0
persistence;org.sigaept.edu.dao.ClasseServidorDAO;0;1
persistence;org.sigaept.edu.dao.EstruturaOrganizacionalDAO;0;0
business;org.sigaept.edu.negocio.ejb.FecharPeriodoLetivoPorTurmaEJB;1;11
business;org.sigaept.edu.negocio.ejb.ManterAreaProcedenciaEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterAproveitamentoAceleracaoeDispensaEJB;0;15
persistence;org.sigaept.edu.dao.PedidoRenovacaoMatriculaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ReaberturaTurmaClasseEJB;0;12
business;org.sigaept.edu.negocio.ejb.ManterTipoPeriodoLetivoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterInstituicaoExternaEJB;0;5
persistence;org.sigaept.edu.dao.DocenciaGradeHorarioDAO;0;0
persistence;org.sigaept.edu.dao.TipoEtapaDAO;0;0
business;org.sigaept.edu.negocio.ejb.AuditSessaoEJB;0;1
persistence;org.sigaept.edu.dao.InstituicaoDAO;0;0
persistence;org.sigaept.edu.dao.TituloEleitoralDAO;0;0
persistence;org.sigaept.edu.dao.FonteFinanciamentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.AbrirPeriodoLetivoPorTurmaEJB;0;14
business;org.sigaept.edu.negocio.ejb.ManterAreaConhecimentoEJB;0;0
persistence;org.sigaept.edu.dao.EstadoCivilDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoUnidadeOrganizacionalEJB;0;0
persistence;org.sigaept.edu.dao.TermoConvenioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPeriodoInscricaoProgramaAssisEstudantilEJB;0;6
business;org.sigaept.edu.negocio.ejb.ManterConjuntoRegrasAcademicasEJB;0;10
persistence;org.sigaept.edu.dao.AreaEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterMunicipioEJB;0;0
persistence;org.sigaept.edu.dao.CursoOrigemDAO;0;0
persistence;org.sigaept.edu.dao.ChamadaProcessoSeletivoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterDataFixaEJB;0;1
business;org.sigaept.edu.negocio.ejb.ManterPermissaoEJB;0;10
persistence;org.sigaept.edu.dao.ProfissaoDAO;0;0
persistence;org.sigaept.edu.dao.ContextoRegraDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTemplateRelatorioEstagioEJB;0;3
business;org.sigaept.edu.negocio.ejb.AuditAcessoEJB;0;1
persistence;org.sigaept.edu.dao.MenuDAO;0;0
persistence;org.sigaept.edu.dao.EnadeDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoDataAcademicaEJB;0;0
persistence;org.sigaept.edu.dao.AtividadeEconomicaDAO;0;0
persistence;org.sigaept.edu.dao.PlanoEstudoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCategoriaProjetoExtensaoEJB;0;1
persistence;org.sigaept.edu.dao.GerenciaEnadeDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPapelParticipanteEJB;0;0
persistence;org.sigaept.edu.dao.SituacaoVinculoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterConselhoClasseEJB;2;11
persistence;org.sigaept.edu.dao.FormaOfertaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterHorarioAulaEJB;0;3
persistence;org.sigaept.edu.dao.TipoPerguntaDAO;0;0
persistence;org.sigaept.edu.dao.TipoDataAcademicaDAO;0;0
persistence;org.sigaept.edu.dao.BancoPagamentoDAO;0;0
persistence;org.sigaept.edu.dao.PeriodoAvaliacaoDocenteDAO;0;0
persistence;org.sigaept.edu.dao.EmailDAO;0;0
business;org.sigaept.edu.negocio.ejb.AuditTabelaEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterSistemaEnsinoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterPoloEadEJB;0;0
persistence;org.sigaept.edu.dao.PreProjetoEstagioTramiteDAO;0;0
persistence;org.sigaept.edu.dao.TipoVinculoClasseDAO;0;0
persistence;org.sigaept.edu.dao.SituacaoLegalDAO;0;0
persistence;org.sigaept.edu.dao.VerificacaoCasoLogDAO;0;0
persistence;org.sigaept.edu.dao.EixoTecnologicoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterProfissaoEJB;0;0
persistence;org.sigaept.edu.dao.SubAreaConhecimentoCNPQDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoCargaHorariaParticipanteEJB;0;0
persistence;org.sigaept.edu.dao.FinanciamentoDAO;0;0
persistence;org.sigaept.edu.dao.PortePessoaJuridicaDAO;0;0
persistence;org.sigaept.edu.dao.AreaIngressoDAO;0;0
persistence;org.sigaept.edu.dao.EstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoDataEspecialEJB;0;0
persistence;org.sigaept.edu.dao.TipoPeriodoMatrizCurricularDAO;0;0
persistence;org.sigaept.edu.dao.ParticipacaoProgramaAssisEstudantilDAO;0;0
persistence;org.sigaept.edu.dao.AulaAntecipacaoReposicaoDAO;0;0
persistence;org.sigaept.edu.dao.OcorrenciaAlunoDAO;0;0
persistence;org.sigaept.edu.dao.TelefoneDAO;0;0
persistence;org.sigaept.edu.dao.AreaUnescoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEventoExternoEJB;0;9
persistence;org.sigaept.edu.dao.CessaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterElementoCurricularEJB;0;14
business;org.sigaept.edu.negocio.ejb.ManterEixoTecnologicoEJB;0;1
persistence;org.sigaept.edu.dao.MandatoDAO;0;0
business;org.sigaept.edu.negocio.ejb.EfetuarLoginEJB;0;3
persistence;org.sigaept.edu.dao.ElementoOrganizacionalTelefoneDAO;0;0
persistence;org.sigaept.edu.dao.HistoricoMatriculaMatrizDAO;0;0
persistence;org.sigaept.edu.dao.TrabalhoConclusaoDAO;0;0
persistence;org.sigaept.edu.dao.AlternativaPerguntasProgramasAssistenciaEstudantilDAO;0;0
persistence;org.sigaept.edu.dao.StatusEnadeDAO;0;0
persistence;org.sigaept.edu.dao.ZonaProcedenciaDAO;0;0
persistence;org.sigaept.edu.dao.EnderecoDAO;0;0
persistence;org.sigaept.edu.dao.LocalizacaoDAO;0;0
persistence;org.sigaept.edu.dao.CPFDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAbonoFaltaEJB;0;7
business;org.sigaept.edu.negocio.ejb.ManterEstagioEJB;0;0
persistence;org.sigaept.edu.dao.TecnicoAdministrativoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterContaCorrentePagamentoEJB;0;0
persistence;org.sigaept.edu.dao.StatusUsuarioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterMaterialApoioEJB;0;2
persistence;org.sigaept.edu.dao.StatusHistoricoEnadeDAO;0;0
persistence;org.sigaept.edu.dao.AnoConclusaoInstituicaoOrigemDAO;0;0
persistence;org.sigaept.edu.dao.ReaberturaClasseDAO;0;0
persistence;org.sigaept.edu.dao.LancamentoDadosHistoricoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEgressoEJB;0;1
business;org.sigaept.edu.negocio.ejb.ManterPlanoEstagioEJB;0;8
persistence;org.sigaept.edu.dao.TipoAbrangenciaRegraDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTreinamentoEJB;0;2
persistence;org.sigaept.edu.dao.GradeHorarioHorarioAulaDAO;0;0
persistence;org.sigaept.edu.dao.EstagioMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.TipoPessoaJuridicaDAO;0;0
persistence;org.sigaept.edu.dao.AuditStatusTransacaoDAO;0;0
persistence;org.sigaept.edu.dao.EstruturaEtapaAvaliacaoMatrizCurricularDAO;0;0
persistence;org.sigaept.edu.dao.TipoConvenioEstagioDAO;0;0
persistence;org.sigaept.edu.dao.CalendarioAcademicoMatrizCurricularDAO;0;0
persistence;org.sigaept.edu.dao.CalendarioAcademicoDAO;0;0
persistence;org.sigaept.edu.dao.AvaliarProjetoExtensaoDAO;0;0
persistence;org.sigaept.edu.dao.ResultadoAvaliacaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterNecessidadeEspecialEJB;0;0
persistence;org.sigaept.edu.dao.EstruturaEtapaAvaliacaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEditalProcessoSeletivoEJB;0;1
persistence;org.sigaept.edu.dao.MaterialApoioDAO;0;0
persistence;org.sigaept.edu.dao.PlanoEstagioDAO;0;0
persistence;org.sigaept.edu.dao.RelatorioDAO;0;0
persistence;org.sigaept.edu.dao.EtniaDAO;0;0
persistence;org.sigaept.edu.dao.NecessidadeEspecialDAO;0;0
persistence;org.sigaept.edu.dao.GradeHorariaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPCCMatriculaEJB;2;3
persistence;org.sigaept.edu.dao.SituacaoCalendarioAcademicoDAO;0;0
persistence;org.sigaept.edu.dao.TipoUnidadeOrganizacionalDAO;0;0
persistence;org.sigaept.edu.dao.TipoPeriodoLetivoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPessoaExternaEJB;0;3
business;org.sigaept.edu.negocio.ejb.ManterTermoEstagioEJB;0;2
persistence;org.sigaept.edu.dao.TipoCargaHorariaParticipanteDAO;0;0
persistence;org.sigaept.edu.dao.EtapaAvaliacaoDAO;0;0
persistence;org.sigaept.edu.dao.CargoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterGrupoEJB;0;3
business;org.sigaept.edu.negocio.ejb.ManterTipoParentescoEJB;0;1
persistence;org.sigaept.edu.dao.DataFixaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterClasseServidorEJB;0;0
persistence;org.sigaept.edu.dao.ParticipanteEnadeDAO;0;0
persistence;org.sigaept.edu.dao.MatrizCurricularDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoEscolaOrigemEJB;0;0
persistence;org.sigaept.edu.dao.TipoAulaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEtniaEJB;0;0
persistence;org.sigaept.edu.dao.AreaTematicaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCalendarioAcademicoEJB;0;15
persistence;org.sigaept.edu.dao.TipoRelatorioEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterConjuntoTemplateRelatorioEstagioEJB;0;3
persistence;org.sigaept.edu.dao.DiaSemanaDAO;0;0
persistence;org.sigaept.edu.dao.PapelParticipanteDAO;0;0
persistence;org.sigaept.edu.dao.SituacaoFuncionamentoDAO;0;0
persistence;org.sigaept.edu.dao.PeriodoMatrizCurricularDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPaisEJB;0;0
persistence;org.sigaept.edu.dao.TipoRegimeMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.TipoEscolaOrigemDAO;0;0
persistence;org.sigaept.edu.dao.TipoEstagioDAO;0;0
persistence;org.sigaept.edu.dao.HorarioAulaDAO;0;0
persistence;org.sigaept.edu.dao.PaisDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterFormaOfertaEJB;0;0
persistence;org.sigaept.edu.dao.VinculoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoLogradouroEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterEstadoCivilEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterPlanoEnsinoEJB;0;5
persistence;org.sigaept.edu.dao.EixoTecnologicoCursoTecnicoDAO;0;0
persistence;org.sigaept.edu.dao.ElementoCurricularAproveitadoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCategoriaDataEspecialEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterRegraAcademicaEJB;0;6
persistence;org.sigaept.edu.dao.TipoProcedimentoCurricularDao;0;0
persistence;org.sigaept.edu.dao.DataLimiteEtapaDAO;0;0
persistence;org.sigaept.edu.dao.ItemDispendioDAO;0;0
persistence;org.sigaept.edu.dao.MediaGeralTurmaDAO;0;0
business;org.sigaept.edu.negocio.ejb.RelatorioEJB;0;1
persistence;org.sigaept.edu.dao.AproveitamentoAceleracaoeDispensaDAO;0;0
persistence;org.sigaept.edu.dao.AprovadoProcessoSeletivoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterReservaEquipamentoEnsinoEJB;0;7
persistence;org.sigaept.edu.dao.ElementoCurricularAproveitadoElementoCurricularDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterInscricaoProgramasAssistenciaEstudantilEJB;0;1
persistence;org.sigaept.edu.dao.AplicacaoPerguntasAssistenciaEstudantilDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTCCMatriculaEJB;2;3
persistence;org.sigaept.edu.dao.TipoAtoAutorizativoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterSituacaoVinculoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterParentescoEJB;0;0
persistence;org.sigaept.edu.dao.FaltaDAO;0;0
persistence;org.sigaept.edu.dao.DataAcademicaDAO;0;0
persistence;org.sigaept.edu.dao.ConvenioEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.VincularAlunoAClasseEJB;0;25
persistence;org.sigaept.edu.dao.ConjuntoRegrasAcademicasMatrizDAO;0;0
persistence;org.sigaept.edu.dao.ElementoCurricularDAO;0;0
persistence;org.sigaept.edu.dao.CategoriaProjetoExtensaoDAO;0;0
persistence;org.sigaept.edu.dao.TipoEstagioRegularDAO;0;0
persistence;org.sigaept.edu.dao.OrgaosExternosDAO;0;0
persistence;org.sigaept.edu.dao.CertidaoNascimentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterBancoPagamentoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterReservaAmbienteDeAprendizagemEJB;0;9
persistence;org.sigaept.edu.dao.TipoArquivoRelatorioFinalEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterDiaSemanaEJB;0;1
persistence;org.sigaept.edu.dao.CancelamentoMatriculaClasseDAO;0;0
persistence;org.sigaept.edu.dao.CancelamentoMatriculaCursoDAO;0;0
persistence;org.sigaept.edu.dao.CicloMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.DocenciaDAO;0;0
persistence;org.sigaept.edu.dao.TipoSituacaoMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.VisitaTecnicaGerencialDAO;0;0
