Component;csc;component size
org.sigaept.edu.negocio.ejb.ManterEtapaAvaliacaoEJB, org.sigaept.edu.negocio.ejb.FecharPeriodoLetivoPorTurmaEJB, org.sigaept.edu.negocio.ejb.ManterAproveitamentoAceleracaoeDispensaEJB, org.sigaept.edu.negocio.ejb.AbrirPeriodoLetivoPorTurmaEJB, org.sigaept.edu.negocio.ejb.ManterConselhoClasseEJB, org.sigaept.edu.negocio.ejb.ManterAbonoFaltaEJB, org.sigaept.edu.negocio.ejb.ManterCalendarioAcademicoEJB, org.sigaept.edu.negocio.ejb.ManterRegraAcademicaEJB, org.sigaept.edu.negocio.ejb.VincularAlunoAClasseEJB, org.sigaept.edu.negocio.ejb.ManterMatrizCurricularEJB, org.sigaept.edu.negocio.ejb.ManterClasseEJB, org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB, org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB, org.sigaept.edu.negocio.ejb.ManterGradeHorariaEJB, org.sigaept.edu.negocio.ejb.ManterMatriculaEJB, org.sigaept.edu.negocio.ejb.ManterTurmaEJB, org.sigaept.edu.negocio.ejb.ManterInscricaoElementoCurricularEJB, org.sigaept.edu.negocio.ejb.ManterElementoOrganizacionalEJB, org.sigaept.edu.negocio.ejb.ManterSituacaoAlunoCursoEJB, org.sigaept.edu.negocio.ejb.ManterAvaliacaoDocenteEJB, org.sigaept.edu.negocio.ejb.ManterRelatorioPentahoEJB, org.sigaept.edu.negocio.ejb.FecharPeriodoLetivoClasseEJB, ;368;22
org.sigaept.edu.negocio.ejb.ManterGerenciaEnadeEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterPessoaFisicaEJB, org.sigaept.edu.negocio.ejb.ManterPessoaExternaEJB, org.sigaept.edu.negocio.ejb.ManterServidorEJB, ;62;3
org.sigaept.edu.negocio.ejb.ManterAprovadoProcessoSeletivoEJB, ;6;1
org.sigaept.edu.negocio.ejb.ManterEditalProjetoPesquisaExtensaoEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterValidaDocumentoEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterEducacensoEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterEditalProcessoSeletivoEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterPeriodoInscricaoProgramaAssisEstudantilEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterConjuntoRegrasAcademicasEJB, ;6;1
org.sigaept.edu.negocio.ejb.ManterPlanoEstudoEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterProgramaAssistenciaEstudantilEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterUsuarioEJB, org.sigaept.edu.negocio.ejb.EfetuarLoginEJB, org.sigaept.edu.negocio.ejb.ManterAuditoriaRecuperacaoSenhaEJB, ;16;3
org.sigaept.edu.negocio.ejb.ManterEstruturaOrganizacionalEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterDataLimiteEtapaEJB, ;8;1
org.sigaept.edu.negocio.ejb.ManterEquipamentoEnsinoEJB, ;6;1
org.sigaept.edu.negocio.ejb.ManterProcedimentoTreinamentoEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterReservaAmbienteDeAprendizagemEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterAmbienteAprendizagemEJB, ;8;1
org.sigaept.edu.negocio.ejb.ManterRegimeMatriculaEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterPlanoEnsinoEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterParticipacaoEJB, org.sigaept.edu.negocio.ejb.ManterProgramaEJB, org.sigaept.edu.negocio.ejb.ManterProjetoExtensaoEJB, ;38;3
org.sigaept.edu.negocio.ejb.ManterDataFixaEJB, org.sigaept.edu.negocio.ejb.ManterReservaEquipamentoEnsinoEJB, ;8;2
org.sigaept.edu.negocio.ejb.ManterOfertaVagaEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterRelatorioFinalEstagioEJB, org.sigaept.edu.negocio.ejb.ManterAlunoEJB, org.sigaept.edu.negocio.ejb.ManterOcorrenciaAlunoEJB, org.sigaept.edu.negocio.ejb.ManterRelatorioAlunoEJB, ;56;4
