Class origin; Class destiny;Connection Strength Value
GenericEntidadeId;AutoCompleteIndexConverter;0.0
ManterPlanoEnsinoEJB;ClasseDAO;179.63828783403792
ManterPlanoEnsinoEJB;Classe;0.0
ManterPlanoEnsinoEJB;DocenteDAO;13.342790649114294
ManterPlanoEnsinoEJB;ElementoCurricularDAO;13.342790649114294
ManterPlanoEnsinoEJB;PlanoEnsinoDAO;59.5260359637777
ManterPlanoEnsinoEJB;TurmaDAO;13.342790649114294
ManterPlanoEnsinoEJB;PlanoEnsino;0.0
NecessidadeEspecialDAO;NecessidadeEspecial;0.0
NecessidadeEspecialDAO;ManterPessoaFisicaEJB;0.0
EquivalenciaDAO;ManterInscricaoElementoCurricularEJB;18.446466238829
EquivalenciaDAO;ManterMatrizCurricularEJB;335.8277008818646
EquivalenciaDAO;VincularAlunoAClasseEJB;0.0
EquivalenciaDAO;ElementoCurricular;0.0
ManterEtapaAvaliacaoEJB;NivelEnsinoDAO;0.0
ManterEtapaAvaliacaoEJB;AvaliacaoDAO;115.7982719275554
ManterEtapaAvaliacaoEJB;EstruturaEtapaAvaliacaoMatrizCurricular;15.461327082114297
ManterEtapaAvaliacaoEJB;FormaAvaliacaoDAO;0.0
ManterEtapaAvaliacaoEJB;ConceitoAvaliacaoDAO;0.3
ManterEtapaAvaliacaoEJB;PeriodoLetivoDAO;25.549662133563288
ManterEtapaAvaliacaoEJB;EtapaAvaliacao;0.0
ManterEtapaAvaliacaoEJB;NivelEnsino;0.0
ManterEtapaAvaliacaoEJB;Classe;0.0
ManterEtapaAvaliacaoEJB;ResultadoAvaliacaoDAO;115.7982719275554
ManterEtapaAvaliacaoEJB;StatusAlunoDAO;0.0
ManterEtapaAvaliacaoEJB;UnidadeEnsinoDAO;0.3
ManterEtapaAvaliacaoEJB;EtapaAvaliacaoDAO;94.97594933795135
ManterEtapaAvaliacaoEJB;PeriodoLetivo;0.0
ManterEtapaAvaliacaoEJB;TipoEtapaDAO;0.3
ManterEtapaAvaliacaoEJB;Curso;0.0
ManterEtapaAvaliacaoEJB;CursoDAO;0.6
ManterEtapaAvaliacaoEJB;ConceitoAvaliacao;0.0
ManterEtapaAvaliacaoEJB;ConjuntoRegrasAcademicasDAO;0.0
ManterEtapaAvaliacaoEJB;MatrizCurricularDAO;13.342790649114294
ManterEtapaAvaliacaoEJB;ClasseDAO;221.0774926824103
ManterEtapaAvaliacaoEJB;Avaliacao;76.4702928851089
ManterEtapaAvaliacaoEJB;TipoAvaliacaoDAO;0.0
ManterEtapaAvaliacaoEJB;RegraAcademica;0.0
ManterEtapaAvaliacaoEJB;EstruturaEtapaAvaliacao;0.0
ManterEtapaAvaliacaoEJB;EstruturaEtapaAvaliacaoMatrizCurricularDAO;236.71334304879753
ManterEtapaAvaliacaoEJB;ConjuntoRegrasAcademicas;0.0
ManterCalendarioAcademicoEJB;CalendarioAcademico;0.4599
ManterCalendarioAcademicoEJB;EtapaEnsinoDAO;0.7599
ManterCalendarioAcademicoEJB;NivelEnsinoDAO;0.0
ManterCalendarioAcademicoEJB;UnidadeOrganizacionalDAO;11.906871484448995
ManterCalendarioAcademicoEJB;SituacaoCalendarioAcademicoDAO;0.3
ManterCalendarioAcademicoEJB;MatrizCurricularDAO;30.61394329822859
ManterCalendarioAcademicoEJB;TipoAtoAutorizativoDAO;0.0
ManterCalendarioAcademicoEJB;PeriodoLetivoDAO;12.206871484448996
ManterCalendarioAcademicoEJB;DiaSemanaDAO;0.0
ManterCalendarioAcademicoEJB;CalendarioAcademicoDAO;119.08206717542949
ManterCalendarioAcademicoEJB;UnidadeEnsinoDAO;13.132761484448995
ManterCalendarioAcademicoEJB;DataFixaDAO;0.0
ManterCalendarioAcademicoEJB;TipoDataEspecialDAO;0.0
ManterCalendarioAcademicoEJB;ModalidadeEnsinoDAO;0.6
ManterCalendarioAcademicoEJB;InstituicaoDAO;0.0
ValidadorFormula;ValidarRetorno;0.6
ValidadorFormula;NotaEtapaAluno;0.3
AtividadeEconomicaDAO;ManterProjetoExtensaoEJB;0.0
TipoConvenioEstagioDAO;ManterConvenioEJB;0.0
ConvenioEstagioDAO;ListaAuxiliarSelecao;0.0
ConvenioEstagioDAO;ManterConvenioEstagioEJB;24.713742968897993
ConvenioEstagioDAO;UnidadeEnsino;0.0
ManterPeriodoAcompanhamentoEJB;EmailDAO;0.0
ManterPeriodoAcompanhamentoEJB;AvaliarProjetoExtensaoDAO;0.3
ManterPeriodoAcompanhamentoEJB;ParticipacaoDAO;0.3
ManterPeriodoAcompanhamentoEJB;ProjetoExtensaoDAO;0.6
ManterPeriodoAcompanhamentoEJB;PeriodoAcompanhamentoDAO;0.0
NegocioException;ManterEducacensoEJB;0.0
NegocioException;ManterElementoCurricularEJB;0.0
NegocioException;ManterPerguntasProgramasAssistenciaEstudantilEJB;0.0
NegocioException;PerguntasProgramasAssistenciaEstudantilDAO;0.0
NegocioException;ManterAvaliarProjetoExtensaoEJB;0.0
NegocioException;ManterRelatorioAlunoEJB;0.0
NegocioException;GenericCrudMB;0.0
NegocioException;ManterMatriculaEJB;0.0
NegocioException;FuncionarioDAO;0.0
NegocioException;AutoCompleteIndexConverter;0.0
NegocioException;GenericCrudPassoAPassoMB;0.0
NegocioException;FecharPeriodoLetivoClasseEJB;0.0
NegocioException;GenericCrudPassoAPassoNovoMB;0.0
NegocioException;ManterDiarioClasseEJB;0.0
NegocioException;ManterPeriodoLetivoEJB;0.0
NegocioException;ManterConjuntoRegrasAcademicasEJB;0.0
NegocioException;ManterSituacaoAlunoCursoEJB;0.0
NegocioException;AbrirPeriodoLetivoPorTurmaEJB;0.0
TipoRegimeMatriculaDAO;ManterRegimeMatriculaEJB;0.0
RegimeMatriculaDAO;VincularAlunoAClasseEJB;0.0
RegimeMatriculaDAO;ManterCursoEJB;0.0
TelefoneDAO;ManterElementoOrganizacionalEJB;1.4889299999999999
AbrirPeriodoLetivoPorTurmaEJB;CalendarioAcademico;0.0
AbrirPeriodoLetivoPorTurmaEJB;MatrizCurricular;0.0
AbrirPeriodoLetivoPorTurmaEJB;AvaliacaoDAO;57.8991359637777
AbrirPeriodoLetivoPorTurmaEJB;DataEspecial;0.0
AbrirPeriodoLetivoPorTurmaEJB;EstruturaEtapaAvaliacaoMatrizCurricular;0.0
AbrirPeriodoLetivoPorTurmaEJB;PeriodoLetivoDAO;13.642790649114295
AbrirPeriodoLetivoPorTurmaEJB;EtapaAvaliacao;0.0
AbrirPeriodoLetivoPorTurmaEJB;Classe;0.0
AbrirPeriodoLetivoPorTurmaEJB;ResultadoAvaliacaoDAO;57.8991359637777
AbrirPeriodoLetivoPorTurmaEJB;CalendarioAcademicoDAO;0.0
AbrirPeriodoLetivoPorTurmaEJB;PeriodoLetivo;0.0
AbrirPeriodoLetivoPorTurmaEJB;DocenciaGradeHorarioDAO;15.214761526550006
AbrirPeriodoLetivoPorTurmaEJB;CursoDAO;0.6
AbrirPeriodoLetivoPorTurmaEJB;EnturmacaoDAO;62.0149259637777
AbrirPeriodoLetivoPorTurmaEJB;ConjuntoRegrasAcademicasDAO;0.0
AbrirPeriodoLetivoPorTurmaEJB;MatrizCurricularDAO;0.3
AbrirPeriodoLetivoPorTurmaEJB;NegocioException;0.0
AbrirPeriodoLetivoPorTurmaEJB;ClasseDAO;0.3
AbrirPeriodoLetivoPorTurmaEJB;AulaDAO;0.0
AbrirPeriodoLetivoPorTurmaEJB;Aula;58.4991359637777
AbrirPeriodoLetivoPorTurmaEJB;Avaliacao;76.4702928851089
AbrirPeriodoLetivoPorTurmaEJB;TipoAvaliacaoDAO;0.0
AbrirPeriodoLetivoPorTurmaEJB;RegraAcademica;0.0
AbrirPeriodoLetivoPorTurmaEJB;DocenciaGradeHorario;0.0
AbrirPeriodoLetivoPorTurmaEJB;EstruturaEtapaAvaliacao;0.0
AbrirPeriodoLetivoPorTurmaEJB;TurmaDAO;13.942790649114295
AbrirPeriodoLetivoPorTurmaEJB;Turma;0.0
AbrirPeriodoLetivoPorTurmaEJB;EstruturaEtapaAvaliacaoMatrizCurricularDAO;0.0
AbrirPeriodoLetivoPorTurmaEJB;ConjuntoRegrasAcademicas;0.0
ManterGrupoEJB;UsuarioDAO;0.3
ManterGrupoEJB;Grupo;0.0
ManterGrupoEJB;GrupoDAO;5.0507773799999995
ManterGrupoEJB;CDUDAO;0.3
FaltaDAO;ManterAbonoFaltaEJB;300.3735462748012
